GeneID	GeneName
406945	MIR153-2
406947	MIR155
406947	MIR155
406947	MIR155
102465831	Mir155
406948	MIR15A
406948	MIR15A
406949	MIR15B
406950	MIR16-1
406952	MIR17
406952	MIR17
406995	MIR181A1
406995	MIR181A1
406954	MIR181A2
406954	MIR181A2
406955	MIR181B1
406958	MIR182
406959	MIR183
406959	MIR183
406961	MIR185
406962	MIR186
406962	MIR186
406963	MIR187
406963	MIR187
406965	MIR190A
406966	MIR191
406968	MIR193A
406969	MIR194-1
442920	MIR196B
442920	MIR196B
406976	MIR199A1
406977	MIR199A2
406979	MIR19A
406979	MIR19A
406979	MIR19A
406979	MIR19A
387242	Mir200a
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
406983	MIR200A
100314194	Mir200a
387243	Mir200b
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406984	MIR200B
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
406985	MIR200C
723944	Mir200c
100314161	Mir203
406986	MIR203A
406986	MIR203A
406986	MIR203A
406986	MIR203A
387200	Mir204
406987	MIR204
406987	MIR204
406987	MIR204
406987	MIR204
406988	MIR205
406988	MIR205
406988	MIR205
406988	MIR205
406988	MIR205
406989	MIR206
406990	MIR208A
406982	MIR20A
406982	MIR20A
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
406991	MIR21
100314000	Mir21
406993	MIR211
406996	MIR214
406998	MIR216A
406999	MIR217
407000	MIR218-1
407000	MIR218-1
407001	MIR218-2
387140	Mir21a
387140	Mir21a
407006	MIR221
407006	MIR221
407006	MIR221
407006	MIR221
407006	MIR221
407007	MIR222
407008	MIR223
407008	MIR223
407008	MIR223
407009	MIR224
407010	MIR23A
407010	MIR23A
407010	MIR23A
387217	Mir23b
407011	MIR23B
407012	MIR24-1
407013	MIR24-2
407014	MIR25
407015	MIR26A1
407015	MIR26A1
407016	MIR26A2
407017	MIR26B
407017	MIR26B
407018	MIR27A
100049712	Mir294
100049712	Mir294
100314230	Mir29a
407024	MIR29B1
407024	MIR29B1
407024	MIR29B1
387224	Mir29c
387224	Mir29c
407026	MIR29C
100126297	MIR300
100126297	MIR300
100126297	MIR300
407027	MIR301A
723920	Mir302a
407029	MIR30A
407029	MIR30A
407029	MIR30A
407029	MIR30A
407029	MIR30A
407029	MIR30A
100314011	Mir30a
407030	MIR30B
407031	MIR30C1
407031	MIR30C1
407031	MIR30C1
387227	Mir30c-1
407032	MIR30C2
407032	MIR30C2
723964	Mir30c-2
407033	MIR30D
407033	MIR30D
723836	Mir30e
100314153	Mir30e
407035	MIR31
442900	MIR326
442903	MIR331
693120	MIR33B
407040	MIR34A
407040	MIR34A
407040	MIR34A
407040	MIR34A
723932	Mir34c
494323	MIR361
442918	MIR373
494324	MIR375
494324	MIR375
494330	MIR381
494331	MIR382
494336	MIR424
554210	MIR429
554210	MIR429
554210	MIR429
554213	MIR449A
574412	MIR452
768216	MIR454
574436	MIR485
664616	MIR487B
574442	MIR489
574444	MIR491
574452	MIR494
574456	MIR497
574511	MIR506
574511	MIR506
574492	MIR517C
574484	MIR520G
574495	MIR522
693158	MIR573
693175	MIR590
693175	MIR590
693197	MIR612
693201	MIR616
693215	MIR630
693215	MIR630
693223	MIR638
693224	MIR639
693231	MIR646
724025	MIR655
724025	MIR655
724033	MIR663A
100033819	MIR675
407043	MIR7-1
768219	MIR802
100126309	MIR875
100126306	MIR888
407046	MIR9-1
693235	MIR92B
407050	MIR93
407050	MIR93
407050	MIR93
407053	MIR96
406881	MIRLET7A1
406881	MIRLET7A1
406884	MIRLET7B
100313972	Mirlet7d
406890	MIRLET7G
4286	MITF
17342	Mitf
57591	MKL1
57591	MKL1
223701	Mkl1
4300	MLLT3
23531	MMD
23531	MMD
4312	MMP1
4320	MMP11
4323	MMP14
4323	MMP14
4327	MMP19
4313	MMP2
4313	MMP2
4313	MMP2
4313	MMP2
4313	MMP2
4313	MMP2
81686	Mmp2
4314	MMP3
4317	MMP8
4318	MMP9
4318	MMP9
4318	MMP9
4318	MMP9
4318	MMP9
4318	MMP9
4318	MMP9
54737	MPHOSPH8
9902	MRC2
124540	MSI2
10232	MSLN
10232	MSLN
4488	MSX2
9112	MTA1
9112	MTA1
57504	MTA3
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
92140	MTDH
10797	MTHFD2
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
2475	MTOR
57509	MTUS1
4582	MUC1
4582	MUC1
4582	MUC1
4582	MUC1
17829	Muc1
4585	MUC4
4602	MYB
4605	MYBL2
4609	MYC
4609	MYC
4609	MYC
4609	MYC
23077	MYCBP2
4615	MYD88
4633	MYL2
7593	MZF1
109889	Mzf1
10135	NAMPT
10135	NAMPT
79923	NANOG
79923	NANOG
79923	NANOG
79923	NANOG
79923	NANOG
79923	NANOG
388112	NANOGP8
342977	NANOS3
4691	NCL
8202	NCOA3
10397	NDRG1
10397	NDRG1
10397	NDRG1
57447	NDRG2
57447	NDRG2
283131	NEAT1
23327	NEDD4L
10763	NES
10763	NES
10763	NES
10763	NES
18008	Nes
25491	Nes
11925	Neurog3
50674	NEUROG3
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192343	NEWENTRY
192345	NEWENTRY
386595	NEWENTRY
2828293	NEWENTRY
2829895	NEWENTRY
4835966	NEWENTRY
4771	NF2
18030	Nfil3
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
4790	NFKB1
18033	Nfkb1
81736	Nfkb1
4792	NFKBIA
579	NKX3-2
4825	NKX6-1
114548	NLRP3
4830	NME1
9111	NMI
4838	NODAL
4851	NOTCH1
4851	NOTCH1
4851	NOTCH1
